query;seed_ortholog;evalue;score;eggNOG_OGs;max_annot_lvl;COG_category;Description;Preferred_name;GOs;EC;KEGG_ko;KEGG_Pathway;KEGG_Module;KEGG_Reaction;KEGG_rclass;BRITE;KEGG_TC;CAZy;BiGG_Reaction;PFAMs
k105_88119_6;436308.Nmar_0557;3.03e-91;266.0;arCOG08652@1|root,arCOG08652@2157|Archaea,41SMZ@651137|Thaumarchaeota;651137|Thaumarchaeota;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
k105_88119_7;436308.Nmar_0555;0.0;898.0;COG0043@1|root,arCOG01671@2157|Archaea,41S94@651137|Thaumarchaeota;651137|Thaumarchaeota;H;UbiD family decarboxylase;-;-;4.1.1.98;ko:K03182;ko00130,ko01100,ko01110,map00130,map01100,map01110;M00117;R04985,R04986;RC00391;ko00000,ko00001,ko00002,ko01000;-;-;-;UbiD
k105_88119_8;1229909.NSED_02810;1.82e-176;497.0;COG1060@1|root,arCOG00656@2157|Archaea,41SCN@651137|Thaumarchaeota;651137|Thaumarchaeota;C;Radical SAM enzyme that catalyzes the cyclization of dehypoxanthine futalosine (DHFL) into cyclic dehypoxanthine futalosine (CDHFL), a step in the biosynthesis of menaquinone (MK, vitamin K2);mqnC;-;-;-;-;-;-;-;-;-;-;-;Radical_SAM
k105_88212_1;1229909.NSED_04070;1.92e-151;429.0;COG2107@1|root,arCOG00654@2157|Archaea,41SB8@651137|Thaumarchaeota;651137|Thaumarchaeota;H;Catalyzes the conversion of cyclic dehypoxanthine futalosine (cyclic DHFL) into 1,4-dihydroxy-6-naphthoate, a step in the biosynthesis of menaquinone (MK, vitamin K2);mqnD;-;-;ko:K11785;ko00130,ko01110,map00130,map01110;-;R08589;RC02330;ko00000,ko00001,ko01000;-;-;-;VitK2_biosynth
k105_88212_2;1229909.NSED_04065;4.13e-43;142.0;arCOG10539@1|root,arCOG10539@2157|Archaea;2157|Archaea;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
k105_88212_3;1229909.NSED_01200;3.83e-35;124.0;COG2142@1|root,arCOG04162@2157|Archaea,41SRA@651137|Thaumarchaeota;651137|Thaumarchaeota;C;Succinate dehydrogenase/Fumarate reductase transmembrane subunit;-;-;-;ko:K00242;ko00020,ko00190,ko00650,ko00720,ko01100,ko01110,ko01120,ko01130,ko01200,map00020,map00190,map00650,map00720,map01100,map01110,map01120,map01130,map01200;M00009,M00011,M00149,M00173;R02164;RC00045;ko00000,ko00001,ko00002;-;-;-;Sdh_cyt
k105_88212_4;1131266.ARWQ01000003_gene1500;5.85e-39;135.0;COG2009@1|root,arCOG02244@2157|Archaea,41SKZ@651137|Thaumarchaeota;651137|Thaumarchaeota;C;Succinate dehydrogenase/Fumarate reductase transmembrane subunit;-;-;-;ko:K00241;ko00020,ko00190,ko00650,ko00720,ko01100,ko01110,ko01120,ko01130,ko01200,map00020,map00190,map00650,map00720,map01100,map01110,map01120,map01130,map01200;M00009,M00011,M00149,M00173,M00374,M00376;R02164;RC00045;ko00000,ko00001,ko00002;-;-;-;Sdh_cyt
k105_88237_2;1229909.NSED_07785;6.84e-151;427.0;COG0284@1|root,arCOG00081@2157|Archaea,41SMN@651137|Thaumarchaeota;651137|Thaumarchaeota;F;Orotidine 5'-phosphate decarboxylase / HUMPS family;-;-;4.1.1.23;ko:K01591;ko00240,ko01100,map00240,map01100;M00051;R00965;RC00409;ko00000,ko00001,ko00002,ko01000;-;-;-;OMPdecase
k105_88237_3;436308.Nmar_1419;2.95e-141;401.0;arCOG08773@1|root,arCOG08773@2157|Archaea,41SNY@651137|Thaumarchaeota;651137|Thaumarchaeota;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
k105_5896_1;436308.Nmar_1444;5.52e-68;221.0;arCOG06613@1|root,arCOG06613@2157|Archaea,41T0Z@651137|Thaumarchaeota;651137|Thaumarchaeota;V;AIPR protein;-;-;-;-;-;-;-;-;-;-;-;-;AIPR
k105_5896_2;1229909.NSED_07855;3.06e-53;171.0;COG3794@1|root,arCOG02926@2157|Archaea,41TAN@651137|Thaumarchaeota;651137|Thaumarchaeota;C;Copper binding proteins, plastocyanin/azurin family;-;-;-;-;-;-;-;-;-;-;-;-;Copper-bind
k105_5896_3;436308.Nmar_1432;1.01e-34;119.0;COG2036@1|root,arCOG02144@2157|Archaea,41T91@651137|Thaumarchaeota;651137|Thaumarchaeota;L;transcription factor (CBF NF-Y);-;-;-;-;-;-;-;-;-;-;-;-;CBFD_NFYB_HMF
k105_5896_4;436308.Nmar_1431;6.33e-139;398.0;COG0084@1|root,arCOG00891@2157|Archaea,41SGP@651137|Thaumarchaeota;651137|Thaumarchaeota;L;TatD related DNase;-;-;-;ko:K03424;-;-;-;-;ko00000,ko01000;-;-;-;TatD_DNase
k105_5896_5;1229909.NSED_07840;2.9e-23;94.0;COG1383@1|root,arCOG01885@2157|Archaea,41SUH@651137|Thaumarchaeota;651137|Thaumarchaeota;J;ribosomal protein;-;-;-;ko:K02962;ko03010,map03010;M00177,M00179;-;-;br01610,ko00000,ko00001,ko00002,ko03011;-;-;-;Ribosomal_S17e
k105_5896_6;436308.Nmar_1429;4.75e-113;332.0;COG1617@1|root,COG1977@1|root,arCOG00536@2157|Archaea,arCOG02197@2157|Archaea,41SSW@651137|Thaumarchaeota;651137|Thaumarchaeota;H;Kinase binding protein CGI-121;-;-;-;-;-;-;-;-;-;-;-;-;CGI-121,ThiS
k105_5896_7;1229909.NSED_07830;1.68e-79;240.0;COG1818@1|root,arCOG00084@2157|Archaea,41SNW@651137|Thaumarchaeota;651137|Thaumarchaeota;S;THUMP domain;-;-;-;ko:K06963;-;-;-;-;ko00000,ko03016;-;-;-;THUMP
k105_5896_8;436308.Nmar_1427;1.49e-88;265.0;COG0009@1|root,arCOG01952@2157|Archaea,41SPF@651137|Thaumarchaeota;651137|Thaumarchaeota;J;Sua5 YciO YrdC YwlC family;-;-;2.7.7.87;ko:K07566;-;-;R10463;RC00745;ko00000,ko01000,ko03009,ko03016;-;-;-;Sua5_yciO_yrdC
k105_5896_9;436308.Nmar_1426;1.13e-21;86.3;COG3432@1|root,arCOG01055@2157|Archaea,41SUJ@651137|Thaumarchaeota;651137|Thaumarchaeota;K;Winged helix-turn-helix;-;-;-;-;-;-;-;-;-;-;-;-;HTH_45
k105_5961_1;1229909.NSED_00560;2.7e-120;350.0;COG0109@1|root,arCOG00479@2157|Archaea,41SFH@651137|Thaumarchaeota;651137|Thaumarchaeota;H;Converts heme B (protoheme IX) to heme O by substitution of the vinyl group on carbon 2 of heme B porphyrin ring with a hydroxyethyl farnesyl side group;-;-;2.5.1.141;ko:K02257;ko00190,ko00860,ko01100,ko01110,ko04714,map00190,map00860,map01100,map01110,map04714;M00154;R07411;RC01786;ko00000,ko00001,ko00002,ko01000,ko01006,ko03029;-;-;-;UbiA
k105_5961_2;436308.Nmar_1587;1.97e-67;206.0;COG1522@1|root,arCOG01580@2157|Archaea,41SKI@651137|Thaumarchaeota;651137|Thaumarchaeota;K;Lrp/AsnC ligand binding domain;-;-;-;ko:K03718;-;-;-;-;ko00000,ko03000;-;-;-;AsnC_trans_reg,HTH_24
k105_5961_3;436308.Nmar_1586;1.65e-242;668.0;COG0136@1|root,arCOG00494@2157|Archaea,41SFD@651137|Thaumarchaeota;651137|Thaumarchaeota;E;aspartate-semialdehyde dehydrogenase;-;-;1.2.1.11;ko:K00133;ko00260,ko00261,ko00270,ko00300,ko01100,ko01110,ko01120,ko01130,ko01210,ko01230,map00260,map00261,map00270,map00300,map01100,map01110,map01120,map01130,map01210,map01230;M00016,M00017,M00018,M00033,M00525,M00526,M00527;R02291;RC00684;ko00000,ko00001,ko00002,ko01000;-;-;-;Semialdhyde_dh,Semialdhyde_dhC
k105_5961_4;436308.Nmar_1585;7.22e-149;430.0;COG0079@1|root,arCOG04273@2157|Archaea,41SGU@651137|Thaumarchaeota;651137|Thaumarchaeota;E;PFAM Aminotransferase class I and II;-;-;4.1.1.81;ko:K04720;ko00860,map00860;-;R06530;RC00517;ko00000,ko00001,ko01000;-;-;-;Aminotran_1_2
k105_89369_1;1227488.C477_04484;8.06e-28;111.0;COG0013@1|root,arCOG01255@2157|Archaea,2XSXB@28890|Euryarchaeota,23SUZ@183963|Halobacteria;183963|Halobacteria;J;Catalyzes the attachment of alanine to tRNA(Ala) in a two-step reaction alanine is first activated by ATP to form Ala- AMP and then transferred to the acceptor end of tRNA(Ala). Also edits incorrectly charged Ser-tRNA(Ala) and Gly-tRNA(Ala) via its editing domain;alaS;-;6.1.1.7;ko:K01872;ko00970,map00970;M00359,M00360;R03038;RC00055,RC00523;ko00000,ko00001,ko00002,ko01000,ko01007,ko03016;-;-;-;DHHA1,tRNA-synt_2c,tRNA_SAD
k105_89369_2;1229909.NSED_01815;1.35e-106;308.0;arCOG08745@1|root,arCOG08745@2157|Archaea,41SU1@651137|Thaumarchaeota;651137|Thaumarchaeota;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
k105_89369_3;1229909.NSED_01820;2.14e-31;113.0;COG2058@1|root,arCOG04287@2157|Archaea,41SP0@651137|Thaumarchaeota;651137|Thaumarchaeota;J;Forms part of the ribosomal stalk, playing a central role in the interaction of the ribosome with GTP-bound translation factors;rpl12;-;-;ko:K02869;ko03010,map03010;M00179;-;-;br01610,ko00000,ko00001,ko00002,ko03011;-;-;-;Ribosomal_60s
k105_89369_4;1131266.ARWQ01000001_gene1150;6.4e-103;303.0;COG2860@1|root,arCOG04641@2157|Archaea,41SIS@651137|Thaumarchaeota;651137|Thaumarchaeota;S;UPF0126 domain;-;-;-;-;-;-;-;-;-;-;-;-;UPF0126
k105_89369_5;1229909.NSED_01840;2.77e-139;401.0;COG0244@1|root,arCOG04288@2157|Archaea,41S9R@651137|Thaumarchaeota;651137|Thaumarchaeota;J;Forms part of the ribosomal stalk, playing a central role in the interaction of the ribosome with GTP-bound translation factors;rpl10;-;-;ko:K02864;ko03010,map03010;M00178,M00179;-;-;br01610,ko00000,ko00001,ko00002,ko03011;-;-;-;Ribosomal_L10
k105_89369_6;436308.Nmar_0382;2.12e-128;368.0;COG0081@1|root,arCOG04289@2157|Archaea,41SHF@651137|Thaumarchaeota;651137|Thaumarchaeota;J;Binds directly to 23S rRNA. Probably involved in E site tRNA release;rpl1;-;-;ko:K02863;ko03010,map03010;M00178,M00179;-;-;br01610,ko00000,ko00001,ko00002,ko03011;-;-;-;Ribosomal_L1
k105_89369_7;1229909.NSED_01850;3.09e-83;248.0;COG1522@1|root,arCOG01580@2157|Archaea,41SJD@651137|Thaumarchaeota;651137|Thaumarchaeota;K;helix_turn_helix ASNC type;-;-;-;ko:K03718;-;-;-;-;ko00000,ko03000;-;-;-;AsnC_trans_reg,HTH_24
k105_89369_8;436308.Nmar_0385;7.97e-101;293.0;COG0080@1|root,arCOG04372@2157|Archaea,41SJW@651137|Thaumarchaeota;651137|Thaumarchaeota;J;Forms part of the ribosomal stalk which helps the ribosome interact with GTP-bound translation factors;rpl11;-;-;ko:K02867;ko03010,map03010;M00178,M00179;-;-;br01610,ko00000,ko00001,ko00002,ko03011;-;-;-;Ribosomal_L11,Ribosomal_L11_N
k105_89369_9;436308.Nmar_0386;5.68e-93;273.0;COG0250@1|root,arCOG01920@2157|Archaea,41SM6@651137|Thaumarchaeota;651137|Thaumarchaeota;K;Transcription elongation factor Spt5;spt5;-;-;ko:K02601;-;-;-;-;ko00000,ko03009,ko03021;-;-;-;KOW,Spt5-NGN
k105_89369_10;1229909.NSED_01865;5.52e-29;103.0;COG2443@1|root,arCOG02204@2157|Archaea,41TA4@651137|Thaumarchaeota;651137|Thaumarchaeota;U;Essential subunit of the Sec protein translocation channel SecYEG. Clamps together the 2 halves of SecY. May contact the channel plug during translocation;-;-;-;ko:K07342;ko03060,ko04141,ko04145,ko05110,map03060,map04141,map04145,map05110;M00401;-;-;ko00000,ko00001,ko00002,ko02044;3.A.5.7,3.A.5.8,3.A.5.9;-;-;-
k105_89369_11;436308.Nmar_0387;4.25e-156;441.0;COG1650@1|root,arCOG01616@2157|Archaea,41SM3@651137|Thaumarchaeota;651137|Thaumarchaeota;J;D-aminoacyl-tRNA deacylase with broad substrate specificity. By recycling D-aminoacyl-tRNA to D-amino acids and free tRNA molecules, this enzyme counteracts the toxicity associated with the formation of D-aminoacyl-tRNA entities in vivo;dtdA;-;3.1.1.96;ko:K09716;-;-;-;-;ko00000,ko01000,ko03016;-;-;-;tRNA_deacylase
k105_89369_12;1229909.NSED_01875;3.6e-55;173.0;COG0350@1|root,arCOG02724@2157|Archaea,41SR8@651137|Thaumarchaeota;651137|Thaumarchaeota;L;6-O-methylguanine DNA methyltransferase, DNA binding domain;-;-;2.1.1.63;ko:K00567;-;-;-;-;ko00000,ko01000,ko03400;-;-;-;DNA_binding_1
k105_89369_13;1229909.NSED_01880;6.63e-76;229.0;COG2147@1|root,arCOG04089@2157|Archaea,41SVC@651137|Thaumarchaeota;651137|Thaumarchaeota;J;Binds to the 23S rRNA;rpl19e;-;-;ko:K02885;ko03010,map03010;M00177,M00179;-;-;br01610,ko00000,ko00001,ko00002,ko03011;-;-;-;Ribosomal_L19e
k105_89369_14;1229909.NSED_01885;2.01e-82;244.0;COG1717@1|root,arCOG00781@2157|Archaea,41SP5@651137|Thaumarchaeota;651137|Thaumarchaeota;J;ribosomal protein;-;-;-;ko:K02912;ko03010,map03010;M00177,M00179;-;-;br01610,ko00000,ko00001,ko00002,ko03011;-;-;-;Ribosomal_L32e
k105_89369_15;1229909.NSED_01890;0.0;980.0;COG1866@1|root,arCOG06073@2157|Archaea,41SE5@651137|Thaumarchaeota;651137|Thaumarchaeota;C;Involved in the gluconeogenesis. Catalyzes the conversion of oxaloacetate (OAA) to phosphoenolpyruvate (PEP) through direct phosphoryl transfer between the nucleoside triphosphate and OAA;pckA;-;4.1.1.49;ko:K01610;ko00010,ko00020,ko00620,ko00710,ko01100,ko01110,ko01120,ko01130,ko01200,map00010,map00020,map00620,map00710,map01100,map01110,map01120,map01130,map01200;M00003,M00170;R00341;RC00002,RC02741;ko00000,ko00001,ko00002,ko01000;-;-;-;PEPCK_ATP
k105_6461_1;338963.Pcar_2835;8.09e-142;416.0;COG1690@1|root,COG1690@2|Bacteria,1MUHA@1224|Proteobacteria,42MZN@68525|delta/epsilon subdivisions,2WJGK@28221|Deltaproteobacteria,43SZD@69541|Desulfuromonadales;28221|Deltaproteobacteria;S;Belongs to the RtcB family;rtcB;-;6.5.1.3;ko:K14415;-;-;-;-;ko00000,ko01000,ko03016;-;-;-;RtcB
k105_6461_3;1229909.NSED_08020;8.56e-291;798.0;COG0015@1|root,arCOG01747@2157|Archaea,41SD1@651137|Thaumarchaeota;651137|Thaumarchaeota;F;adenylosuccinate lyase;-;-;4.3.2.2;ko:K01756;ko00230,ko00250,ko01100,ko01110,ko01130,map00230,map00250,map01100,map01110,map01130;M00048,M00049;R01083,R04559;RC00379,RC00444,RC00445;ko00000,ko00001,ko00002,ko01000;-;-;-;ADSL_C,Lyase_1
k105_6461_4;1229909.NSED_08025;1.94e-137;393.0;COG0367@1|root,arCOG00071@2157|Archaea,41SIX@651137|Thaumarchaeota;651137|Thaumarchaeota;E;Asparagine synthase;-;-;6.3.5.4;ko:K01953;ko00250,ko01100,ko01110,map00250,map01100,map01110;-;R00578;RC00010;ko00000,ko00001,ko01000,ko01002;-;-;-;Asn_synthase
k105_89529_1;436308.Nmar_0833;7.08e-193;543.0;COG0498@1|root,arCOG01434@2157|Archaea,41S5N@651137|Thaumarchaeota;651137|Thaumarchaeota;E;Catalyzes the gamma-elimination of phosphate from L- phosphohomoserine and the beta-addition of water to produce L- threonine;-;-;4.2.3.1;ko:K01733;ko00260,ko00750,ko01100,ko01110,ko01120,ko01230,map00260,map00750,map01100,map01110,map01120,map01230;M00018;R01466,R05086;RC00017,RC00526;ko00000,ko00001,ko00002,ko01000;-;-;-;PALP
k105_89529_2;436308.Nmar_0834;2.89e-46;152.0;arCOG10552@1|root,arCOG10552@2157|Archaea,41T8T@651137|Thaumarchaeota;651137|Thaumarchaeota;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
k105_90113_1;436308.Nmar_0652;1.17e-166;472.0;COG4608@1|root,arCOG00184@2157|Archaea,41S9E@651137|Thaumarchaeota;651137|Thaumarchaeota;E;Oligopeptide/dipeptide transporter, C-terminal region;-;-;-;ko:K02032;ko02024,map02024;M00239;-;-;ko00000,ko00001,ko00002,ko02000;3.A.1.5;-;-;ABC_tran,oligo_HPY
k105_90113_2;436308.Nmar_0651;0.0;1425.0;COG1196@1|root,arCOG00371@2157|Archaea,41SDS@651137|Thaumarchaeota;651137|Thaumarchaeota;D;SMC proteins Flexible Hinge Domain;-;-;-;ko:K03529;-;-;-;-;ko00000,ko03036;-;-;-;SMC_N,SMC_hinge
k105_90113_3;1229909.NSED_03350;4.62e-112;328.0;COG0388@1|root,arCOG00062@2157|Archaea;2157|Archaea;H;Nitrilase cyanide hydratase and apolipoprotein N-acyltransferase;-;-;3.5.1.3;ko:K13566;ko00250,map00250;-;R00269,R00348;RC00010;ko00000,ko00001,ko01000;-;-;-;CN_hydrolase
k105_90113_4;436308.Nmar_0649;5.17e-249;685.0;COG1260@1|root,arCOG04213@2157|Archaea,41SEZ@651137|Thaumarchaeota;651137|Thaumarchaeota;I;Myo-inositol-1-phosphate synthase;-;-;5.5.1.4;ko:K01858;ko00521,ko00562,ko01100,ko01130,map00521,map00562,map01100,map01130;-;R07324;RC01804;ko00000,ko00001,ko01000;-;-;-;Inos-1-P_synth
k105_90113_5;1229909.NSED_03335;8.8e-125;360.0;COG1938@1|root,arCOG00347@2157|Archaea,41T2Y@651137|Thaumarchaeota;651137|Thaumarchaeota;S;PAC2 family;-;-;-;ko:K06869;-;-;-;-;ko00000;-;-;-;PAC2
k105_90113_6;1229909.NSED_03330;5.12e-92;275.0;COG1280@1|root,arCOG01947@2157|Archaea,41T36@651137|Thaumarchaeota;651137|Thaumarchaeota;E;Lysine exporter protein LysE YggA;-;-;-;-;-;-;-;-;-;-;-;-;LysE
k105_90113_7;436308.Nmar_0645;2.83e-20;83.6;arCOG10532@1|root,arCOG10532@2157|Archaea;2157|Archaea;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
k105_90113_8;1229909.NSED_03320;1.07e-45;154.0;COG1581@1|root,arCOG03441@1|root,arCOG01753@2157|Archaea,arCOG03441@2157|Archaea,41T5A@651137|Thaumarchaeota;651137|Thaumarchaeota;K;Alba;-;-;-;ko:K03622;-;-;-;-;ko00000;-;-;-;Alba
k105_7165_1;436308.Nmar_0577;1.6e-16;78.2;arCOG08034@1|root,arCOG08034@2157|Archaea;2157|Archaea;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
k105_7165_2;1229909.NSED_03035;3.29e-25;95.1;arCOG10985@1|root,arCOG10985@2157|Archaea,41T8V@651137|Thaumarchaeota;651137|Thaumarchaeota;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
k105_7165_3;1229909.NSED_03040;0.0;898.0;COG1384@1|root,arCOG00485@2157|Archaea,41SB4@651137|Thaumarchaeota;651137|Thaumarchaeota;J;Belongs to the class-I aminoacyl-tRNA synthetase family;lysS;-;6.1.1.6;ko:K04566;ko00970,map00970;M00360;R03658;RC00055,RC00523;ko00000,ko00001,ko00002,ko01000,ko01007,ko03016;-;-;-;tRNA-synt_1f
k105_7165_4;1229909.NSED_03045;0.0;983.0;COG1243@1|root,arCOG01361@2157|Archaea,41S9N@651137|Thaumarchaeota;651137|Thaumarchaeota;K;Histone acetyltransferase;-;-;2.3.1.48;ko:K07739;-;-;-;-;ko00000,ko01000,ko03016,ko03036;-;-;-;Acetyltransf_1,Radical_SAM,Radical_SAM_C
k105_7165_5;436308.Nmar_0581;5.89e-166;474.0;COG0475@1|root,arCOG01953@2157|Archaea,41T00@651137|Thaumarchaeota;651137|Thaumarchaeota;P;Sodium hydrogen exchanger;-;-;-;-;-;-;-;-;-;-;-;-;Na_H_Exchanger
k105_7559_1;1229909.NSED_02115;9.13e-160;456.0;COG1503@1|root,arCOG01742@2157|Archaea;1229909.NSED_02115|-;J;Directs the termination of nascent peptide synthesis (translation) in response to the termination codons UAA, UAG and UGA;-;-;-;ko:K03265;ko03015,map03015;-;-;-;ko00000,ko00001,ko03012,ko03019;-;-;-;-
k105_7559_2;1229909.NSED_06570;3.72e-188;526.0;COG1405@1|root,arCOG01981@2157|Archaea,41SXZ@651137|Thaumarchaeota;651137|Thaumarchaeota;K;Stabilizes TBP binding to an archaeal box-A promoter. Also responsible for recruiting RNA polymerase II to the pre- initiation complex (DNA-TBP-TFIIB);-;-;-;ko:K03124;ko03022,ko05169,ko05203,map03022,map05169,map05203;-;-;-;ko00000,ko00001,ko03021;-;-;-;TFIIB,TF_Zn_Ribbon
k105_7559_3;1229909.NSED_06565;8.52e-76;229.0;COG2101@1|root,arCOG01764@2157|Archaea,41SZD@651137|Thaumarchaeota;2157|Archaea;K;General factor that plays a role in the activation of archaeal genes transcribed by RNA polymerase. Binds specifically to the TATA box promoter element which lies close to the position of transcription initiation;tbp;-;-;ko:K03120;ko03022,ko05016,ko05165,ko05166,ko05168,ko05169,ko05203,map03022,map05016,map05165,map05166,map05168,map05169,map05203;-;-;-;ko00000,ko00001,ko03000,ko03021;-;-;-;TBP
k105_7798_1;436308.Nmar_1368;5.4e-55;179.0;COG0457@1|root,arCOG03038@2157|Archaea,41SMV@651137|Thaumarchaeota;651137|Thaumarchaeota;S;Transglutaminase-like superfamily;-;-;-;-;-;-;-;-;-;-;-;-;TPR_9,Transglut_core2
k105_7798_2;1229909.NSED_07495;5.16e-29;103.0;arCOG08651@1|root,arCOG08651@2157|Archaea,41TB6@651137|Thaumarchaeota;651137|Thaumarchaeota;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
k105_7798_3;1229909.NSED_07500;3.72e-32;111.0;arCOG10403@1|root,arCOG10403@2157|Archaea,41TB3@651137|Thaumarchaeota;651137|Thaumarchaeota;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
k105_7798_4;1229909.NSED_07510;3.32e-239;658.0;COG0473@1|root,arCOG01163@2157|Archaea,41S5U@651137|Thaumarchaeota;651137|Thaumarchaeota;C;Isocitrate isopropylmalate dehydrogenase;-;-;1.1.1.42;ko:K00031;ko00020,ko00480,ko00720,ko01100,ko01110,ko01120,ko01130,ko01200,ko01210,ko01230,ko04146,map00020,map00480,map00720,map01100,map01110,map01120,map01130,map01200,map01210,map01230,map04146;M00009,M00010,M00173,M00740;R00267,R00268,R01899;RC00001,RC00084,RC00114,RC00626,RC02801;br01601,ko00000,ko00001,ko00002,ko01000;-;-;-;Iso_dh
k105_7798_5;436308.Nmar_1380;5.59e-98;287.0;COG2890@1|root,arCOG00109@2157|Archaea,41SSD@651137|Thaumarchaeota;651137|Thaumarchaeota;Q;Methyltransferase small domain;-;-;2.1.1.297;ko:K02493;-;-;R10806;RC00003,RC03279;ko00000,ko01000,ko03012;-;-;-;MTS
k105_91052_1;1229909.NSED_03365;7.88e-50;168.0;COG4301@1|root,arCOG06722@2157|Archaea,41SWR@651137|Thaumarchaeota;651137|Thaumarchaeota;S;Histidine-specific methyltransferase, SAM-dependent;-;-;-;-;-;-;-;-;-;-;-;-;Methyltransf_33
k105_91052_2;436308.Nmar_0657;3.95e-278;764.0;COG1262@1|root,arCOG03517@2157|Archaea,41T1B@651137|Thaumarchaeota;651137|Thaumarchaeota;S;DinB superfamily;-;-;-;-;-;-;-;-;-;-;-;-;DinB_2,FGE-sulfatase
k105_91052_3;1229909.NSED_03375;9.57e-306;838.0;COG0008@1|root,arCOG00402@2157|Archaea,41SFI@651137|Thaumarchaeota;651137|Thaumarchaeota;J;Catalyzes the attachment of proline to tRNA(Pro) in a two-step reaction proline is first activated by ATP to form Pro- AMP and then transferred to the acceptor end of tRNA(Pro);proS;-;6.1.1.15;ko:K01881;ko00970,map00970;M00359,M00360;R03661;RC00055,RC00523;ko00000,ko00001,ko00002,ko01000,ko01007,ko03016;-;-;-;HGTP_anticodon,ProRS-C_1,tRNA-synt_2b
k105_91052_4;1229909.NSED_03380;4.47e-43;142.0;arCOG07440@1|root,arCOG07440@2157|Archaea,41STP@651137|Thaumarchaeota;651137|Thaumarchaeota;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
k105_8074_1;436308.Nmar_0648;3.94e-34;125.0;COG1899@1|root,arCOG04142@2157|Archaea,41SDB@651137|Thaumarchaeota;651137|Thaumarchaeota;O;Deoxyhypusine synthase;-;-;2.5.1.46;ko:K00809;-;-;-;-;ko00000,ko01000;-;-;-;DS
k105_8074_2;1229909.NSED_07155;1.94e-245;674.0;COG0002@1|root,arCOG00495@2157|Archaea,41S8R@651137|Thaumarchaeota;651137|Thaumarchaeota;E;Belongs to the NAGSA dehydrogenase family. Type 1 subfamily. LysY sub-subfamily;lysY;-;-;ko:K05829;ko00220,ko00300,ko01100,ko01110,ko01210,ko01230,map00220,map00300,map01100,map01110,map01210,map01230;M00031,M00763;R09777,R10931;RC00684;ko00000,ko00001,ko00002,ko01000;-;-;-;Semialdhyde_dh,Semialdhyde_dhC
k105_8074_3;1229909.NSED_07160;9.22e-126;362.0;COG0548@1|root,arCOG00862@2157|Archaea,41SFB@651137|Thaumarchaeota;651137|Thaumarchaeota;E;Involved in both the arginine and lysine biosynthetic pathways. Phosphorylates the LysW-bound precursors glutamate (for arginine biosynthesis), respectively alpha-aminoadipate (for lysine biosynthesis);lysZ;-;-;ko:K05828;ko00220,ko00300,ko01100,ko01110,ko01210,ko01230,map00220,map00300,map01100,map01110,map01210,map01230;M00031,M00763;R09776,R10930;RC00002,RC00043;ko00000,ko00001,ko00002,ko01000;-;-;-;AA_kinase
k105_91420_1;1463917.JODC01000048_gene1264;7.27e-32;120.0;COG1410@1|root,COG1410@2|Bacteria,2I9ED@201174|Actinobacteria;201174|Actinobacteria;E;Vitamin B12 dependent methionine synthase, activation domain;-;-;-;-;-;-;-;-;-;-;-;-;B12-binding,Met_synt_B12
k105_91420_2;436308.Nmar_1266;7.07e-118;343.0;COG0685@1|root,arCOG00475@2157|Archaea,41SNK@651137|Thaumarchaeota;651137|Thaumarchaeota;E;cytochrome-c peroxidase activity;-;-;-;-;-;-;-;-;-;-;-;-;-
k105_91420_3;1229909.NSED_07090;1.06e-82;249.0;COG0494@1|root,arCOG01072@2157|Archaea,41STX@651137|Thaumarchaeota;651137|Thaumarchaeota;L;NUDIX domain;-;-;-;-;-;-;-;-;-;-;-;-;NUDIX
k105_91420_4;436308.Nmar_1263;9.57e-57;182.0;COG2097@1|root,arCOG04473@2157|Archaea,41STQ@651137|Thaumarchaeota;651137|Thaumarchaeota;J;Belongs to the ribosomal protein L31e family;rpl31e;-;-;ko:K02910;ko03010,map03010;M00177,M00179;-;-;br01610,ko00000,ko00001,ko00002,ko03011;-;-;-;Ribosomal_L31e
k105_91420_7;1229909.NSED_07075;2.23e-141;406.0;COG0206@1|root,arCOG02201@2157|Archaea,41SG8@651137|Thaumarchaeota;651137|Thaumarchaeota;D;Tubulin/FtsZ family, GTPase domain;-;-;-;ko:K03531;ko04112,map04112;-;-;-;ko00000,ko00001,ko02048,ko03036,ko04812;-;-;-;Tubulin
k105_8513_2;1229909.NSED_01035;1.27e-12;63.2;COG5466@1|root,arCOG05278@2157|Archaea;2157|Archaea;S;small metal-binding protein;-;-;-;-;-;-;-;-;-;-;-;-;DUF1059
k105_8513_4;436308.Nmar_0257;8.95e-96;281.0;COG1695@1|root,arCOG00002@2157|Archaea,41SN8@651137|Thaumarchaeota;651137|Thaumarchaeota;K;Transcriptional regulator PadR-like family;-;-;-;-;-;-;-;-;-;-;-;-;PadR
